,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 15도 미만,주 평균 기온(°C) 15도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
10,부산,2017,3,9.285714285714286,2.700000000000001,-2.3000000000000003,9.6,3.314285714285714,0.008428571428571428,1.1428571428571428,0.04585714285714286,0.054142857142857145,110.85714285714286,67.85714285714286,0,0,0,0,0,1,1,5,53.0,1,0,0,0,0,1,0
11,서울,2017,3,8.842857142857143,4.9,-2.8999999999999995,6.4,2.0285714285714285,0.007571428571428571,1.2142857142857142,0.019714285714285715,0.055,98.28571428571429,69.28571428571429,0,0,0,0,0,5,2,0,225.0,1,0,0,0,0,1,0
12,울산,2017,3,9.042857142857143,3.8999999999999995,-2.5999999999999996,8.0,2.3285714285714287,0.022714285714285715,1.5142857142857142,0.046142857142857145,0.06957142857142858,119.57142857142857,69.71428571428571,0,0,0,0,0,0,1,6,15.0,1,0,0,0,0,1,0
13,인천,2017,3,7.171428571428572,2.3666666666666667,-2.5000000000000004,10.0,3.2142857142857144,0.010857142857142857,1.6285714285714286,0.032999999999999995,0.062,177.85714285714286,125.57142857142857,2,0,0,0,0,0,1,4,81.0,1,0,0,0,0,1,0
14,광주,2017,4,9.371428571428572,5.3,-2.5999999999999996,5.0,1.4142857142857144,0.006714285714285714,1.2428571428571427,0.03214285714285715,0.053,102.71428571428571,59.714285714285715,2,3,0,1,0,0,0,1,19.0,1,0,0,0,0,1,0
15,대구,2017,4,10.742857142857144,3.6999999999999993,-5.3999999999999995,6.8,2.242857142857143,0.010285714285714285,1.9285714285714286,0.03928571428571429,0.061,157.57142857142858,116.14285714285714,0,0,0,0,0,0,5,2,41.0,1,0,0,0,0,1,0
16,대전,2017,4,11.200000000000001,4.2,-3.3,7.9,1.3142857142857143,0.009,1.342857142857143,0.041999999999999996,0.04971428571428571,106.14285714285714,59.142857142857146,0,0,0,3,0,0,0,4,41.0,1,0,0,0,0,1,0
17,부산,2017,4,9.385714285714286,3.799999999999999,-2.2,11.6,3.457142857142857,0.012714285714285716,0.9571428571428572,0.04285714285714286,0.05485714285714286,88.42857142857143,48.714285714285715,0,0,0,0,0,3,1,3,53.0,1,0,0,0,1,0,0
18,서울,2017,4,9.414285714285715,2.8,-2.499999999999999,6.1,2.1142857142857143,0.006285714285714285,1.1428571428571428,0.02557142857142857,0.05028571428571428,83.28571428571429,56.57142857142857,0,1,0,1,0,3,1,1,214.0,1,0,0,0,0,1,0
19,울산,2017,4,9.828571428571427,4.8,-2.5999999999999996,8.0,2.642857142857143,0.01442857142857143,1.0571428571428572,0.03557142857142857,0.05442857142857143,77.85714285714286,40.714285714285715,0,0,0,0,0,1,2,4,18.0,1,0,0,0,0,1,0
20,인천,2017,4,8.014285714285714,5.366666666666667,-1.866666666666669,10.0,3.157142857142857,0.008571428571428572,1.4714285714285715,0.043,0.06285714285714286,166.71428571428572,104.14285714285714,2,0,0,0,0,1,1,3,47.0,1,0,0,0,0,1,0
21,광주,2017,5,9.37142857142857,2.499999999999999,-8.0,5.4,1.5714285714285714,0.01357142857142857,0.9285714285714286,0.027142857142857142,0.044571428571428574,85.71428571428571,42.57142857142857,2,3,0,1,0,0,0,1,29.0,1,0,0,0,0,1,0
